time,sensor,id,detect,read,measure,share,visit,data
2020-08-11 20:10:36,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:10:37,BLE,9A42457E-AC4C-AAE2-D604-43A53F3ED423,,2,,,,PhkrGA
2020-08-11 20:10:37,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,,4,,
2020-08-11 20:10:37,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-85.0
2020-08-11 20:10:38,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-82.0
2020-08-11 20:10:39,BLE,DAFC5544-29E8-A3D3-1D82-DD4FF0C6D6D9,,,3,,,RSSI:-73.0
2020-08-11 20:10:41,BLE,A6759FA3-E096-2692-9ED4-121CFE7F97DC,1,,,,,
2020-08-11 20:10:41,BLE,DAFC5544-29E8-A3D3-1D82-DD4FF0C6D6D9,,2,,,,AayC8A
2020-08-11 20:10:41,BLE,CDC746AB-014E-1B65-5C57-38E7319B3182,1,,,,,
2020-08-11 20:10:41,BLE,CDC746AB-014E-1B65-5C57-38E7319B3182,,,3,,,RSSI:-73.0
2020-08-11 20:10:49,BLE,CDC746AB-014E-1B65-5C57-38E7319B3182,,,3,,,RSSI:-72.0
2020-08-11 20:10:50,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,1,,,,,
2020-08-11 20:10:50,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-82.0
2020-08-11 20:10:50,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-84.0
2020-08-11 20:10:50,BLE,CDC746AB-014E-1B65-5C57-38E7319B3182,,2,,,,AayC8A
2020-08-11 20:10:50,BLE,58F09156-7B3F-831F-6BFA-66C9231693B6,1,,,,,
2020-08-11 20:10:50,BLE,58F09156-7B3F-831F-6BFA-66C9231693B6,,,3,,,RSSI:-72.0
2020-08-11 20:10:51,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-86.0
2020-08-11 20:10:51,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,,4,,Ku1nMg
2020-08-11 20:10:53,BLE,4EF7A26C-D7E4-F367-A284-7CA244E7E9E2,1,,,,,
2020-08-11 20:11:01,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-82.0
2020-08-11 20:11:01,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-97.0
2020-08-11 20:11:01,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-84.0
2020-08-11 20:11:02,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,2,,,,PhkrGA
2020-08-11 20:11:02,BLE,58F09156-7B3F-831F-6BFA-66C9231693B6,,,3,,,RSSI:-78.0
2020-08-11 20:11:03,BLE,58F09156-7B3F-831F-6BFA-66C9231693B6,,2,,,,AayC8A
2020-08-11 20:11:04,BLE,C73A4440-DD05-DECE-933F-B9C29B966C48,1,,,,,
2020-08-11 20:11:04,BLE,C73A4440-DD05-DECE-933F-B9C29B966C48,,,3,,,RSSI:-78.0
2020-08-11 20:11:12,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-96.0
2020-08-11 20:11:13,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-78.0
2020-08-11 20:11:13,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-81.0
2020-08-11 20:11:13,BLE,C73A4440-DD05-DECE-933F-B9C29B966C48,,,3,,,RSSI:-71.0
2020-08-11 20:11:14,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,,4,,Ku1nMg
2020-08-11 20:11:14,BLE,C73A4440-DD05-DECE-933F-B9C29B966C48,,2,,,,AayC8A
2020-08-11 20:11:14,BLE,7E22CE22-628F-7B80-9A70-02BD60D13464,1,,,,,
2020-08-11 20:11:14,BLE,7E22CE22-628F-7B80-9A70-02BD60D13464,,,3,,,RSSI:-79.0
2020-08-11 20:11:23,BLE,7E22CE22-628F-7B80-9A70-02BD60D13464,,,3,,,RSSI:-73.0
2020-08-11 20:11:23,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-86.0
2020-08-11 20:11:23,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-85.0
2020-08-11 20:11:23,BLE,7EEFCEE7-E4BC-1B28-D115-70F653AB7F6C,,,3,,,RSSI:-90.0
2020-08-11 20:11:24,BLE,7E22CE22-628F-7B80-9A70-02BD60D13464,,2,,,,AayC8A
2020-08-11 20:11:24,BLE,AA1D683F-EA91-6F94-F206-FCFDD281547E,1,,,,,
2020-08-11 20:11:24,BLE,AA1D683F-EA91-6F94-F206-FCFDD281547E,,,3,,,RSSI:-76.0
2020-08-11 20:11:32,BLE,4FBECD50-830F-9796-6AF3-72ACE5DDC16E,,,3,,,RSSI:-93.0
2020-08-11 20:11:33,BLE,B4BAA598-3C43-7AD9-7853-AE47DD53E734,,,3,,,RSSI:-76.0
