time,sensor,id,detect,read,measure,share,visit,detectHerald,delete,data
2022-11-29 22:24:25.521+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-53.0[BLETransmitPower:8.0]
2022-11-29 22:24:25.548+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:25.560+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-95.0
2022-11-29 22:24:25.561+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.575+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.733+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-43.0[BLETransmitPower:12.0]
2022-11-29 22:24:25.742+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.752+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.759+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.793+0000,BLE,53:84:8A:0D:E8:B4,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.800+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-46.0[BLETransmitPower:8.0]
2022-11-29 22:24:25.925+0000,BLE,20:AD:C9:CA:0C:42,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:25.944+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-94.0
2022-11-29 22:24:26.075+0000,BLE,5C:DF:39:61:03:9D,,,3,,,,,RSSI:-42.0[BLETransmitPower:8.0]
2022-11-29 22:24:26.099+0000,BLE,7B:AC:AC:34:E9:4A,,,3,,,,,RSSI:-42.0[BLETransmitPower:12.0]
2022-11-29 22:24:26.126+0000,BLE,4F:EF:2D:73:11:36,,,3,,,,,RSSI:-95.0
2022-11-29 22:24:26.135+0000,BLE,10:18:90:C2:A5:E7,,,3,,,,,RSSI:-95.0
2022-11-29 22:24:26.262+0000,BLE,DD:A2:DB:41:63:D4,,,3,,,,,RSSI:-42.0
